Time [s], roll [deg], pitch [deg], yaw [deg], pos_x [m], pos_y [m], pos_z [m], pos_raw_x [m], pos_raw_y [m], pos_raw_z [m], position_initialized [b], position_raw_initialized [b], status 
445.517038,12.161203423627786,-20.73720200281618,45.69340128794073,590710.4199864765,6136577.3408837905,59.32456302624577,-25.459595469757915,38.394191733561456,-50.20777388643677,False,True,AUTO.LOITER
445.616903,9.649749777238746,-15.777207349440737,47.65944657522461,590710.4683999124,6136577.4531995375,59.361560428518494,-25.459595469757915,38.394191733561456,-50.20777388643677,False,True,AUTO.LOITER
445.716919,9.642981151411403,-14.725101361366642,49.23526499459064,590710.5177283412,6136577.521005897,59.402558327279436,-25.51349891303107,38.54893230833113,-50.364774267595195,False,True,AUTO.LOITER
445.816865,8.382782527782226,-13.280916963512635,49.79584790322047,590710.5604904044,6136577.599809318,59.419556271476736,-25.51349891303107,38.54893230833113,-50.364774267595195,False,True,AUTO.LOITER
445.916944,9.510525878612174,-13.534982165289119,49.695179407234114,590710.5844683701,6136577.66709454,59.423554848483064,-25.550905755488202,38.82646455615759,-50.34577652276606,False,True,AUTO.LOITER
446.016919,10.477450788821686,-14.820203182654222,48.8357340796836,590710.6079888365,6136577.756634458,59.421553177238735,-25.550905755488202,38.82646455615759,-50.34577652276606,False,True,AUTO.LOITER
446.117056,10.861032805229259,-15.395461090833408,47.32807599791416,590710.6120389593,6136577.868038211,59.423551766429966,-25.531274047796614,39.10516937635839,-50.32978030402917,False,True,AUTO.LOITER
446.216904,9.527364819507154,-13.839481850615305,45.443497825609,590710.6099802162,6136577.968184337,59.431550649304725,-25.531274047796614,39.10516937635839,-50.32978030402917,False,True,AUTO.LOITER
446.316871,10.49159070533746,-10.993971656104785,45.21204200550398,590710.6015838587,6136578.068200174,59.474549701738745,-25.5492105379235,39.360837787389755,-50.319782819698645,False,True,AUTO.LOITER
446.416902,11.168276669696068,-9.464120993389411,45.0392202819144,590710.5868498873,6136578.168085731,59.492548923732166,-25.5492105379235,39.360837787389755,-50.319782819698645,False,True,AUTO.LOITER
446.517139,13.086305542355207,-10.300971948128685,44.7464036400509,590710.571887167,6136578.279098632,59.49254802159576,-25.528206332121044,39.572778523899615,-50.20178585627764,False,True,AUTO.LOITER
446.616987,14.517548798624226,-11.847148832807463,45.105397041185824,590710.5630333124,6136578.401369164,59.484546825765264,-25.528206332121044,39.572778523899615,-50.20178585627764,False,True,AUTO.LOITER
446.717146,15.834577652596026,-13.306820128190752,46.84234886331354,590710.554179458,6136578.5236396985,59.495545629929545,-25.374112208373845,39.787455258890986,-50.058792453702836,False,True,AUTO.LOITER
446.817213,14.955169402325316,-13.866036716971948,50.63556949325422,590710.545325604,6136578.645910231,59.51354443408854,-25.374112208373845,39.787455258890986,-50.058792453702836,False,True,AUTO.LOITER
446.917017,12.549012813135644,-12.953156650050905,55.83398349755787,590710.5430381128,6136578.757183703,59.564543192807605,-25.39838632172905,40.042993385344744,-50.052794799872686,False,True,AUTO.LOITER
447.01713,10.650404826167838,-13.581676976972014,59.39938477439582,590710.528304144,6136578.857069258,59.59354241477721,-25.39838632172905,40.042993385344744,-50.052794799872686,False,True,AUTO.LOITER
447.117057,9.701064831429619,-12.868815606764986,59.307346387823415,590710.513341427,6136578.96808216,59.609541512614285,-25.579728294396773,40.228510287590325,-50.30679216222504,False,True,AUTO.LOITER
447.216933,10.299701278999057,-13.115496791844418,58.38548720955144,590710.5049450725,6136579.068097997,59.607540565013494,-25.579728294396773,40.228510287590325,-50.30679216222504,False,True,AUTO.LOITER
447.317108,11.59638981734603,-15.238157826324034,55.98686311357234,590710.4831872453,6136579.201235309,59.61053958414571,-25.598122281138785,40.50643339380622,-50.357794926248616,False,True,AUTO.LOITER
447.416963,11.357289451637925,-16.34751752542739,55.45041328827383,590710.4743333937,6136579.323505844,59.62553838827583,-25.598122281138785,40.50643339380622,-50.357794926248616,False,True,AUTO.LOITER
447.516946,11.27563025496328,-12.672848861038933,54.69455955185421,590710.4530330666,6136579.434388462,59.66053765565832,-25.534356037154794,40.79717755969614,-50.249800018753746,False,True,AUTO.LOITER
447.617007,10.112967724085312,-12.733643973628098,54.87827744884942,590710.425166379,6136579.556268141,59.67953696846857,-25.534356037154794,40.79717755969614,-50.249800018753746,False,True,AUTO.LOITER
447.717013,10.59083854580985,-10.046536877496184,54.143893500348035,590710.4104324144,6136579.6561536975,59.66753619041074,-25.608873545541428,41.02941870782524,-50.23880076024558,False,True,AUTO.LOITER
447.816922,12.000009450629504,-9.497708536401475,53.10099096336404,590710.3950122042,6136579.789421292,59.62453503995275,-25.608873545541428,41.02941870782524,-50.23880076024558,False,True,AUTO.LOITER
447.917143,13.172535501151678,-12.306165903713719,53.53129029847622,590710.3861583554,6136579.911691827,59.587533844057994,-25.695837522973306,41.25027194060385,-50.425801038498776,False,True,AUTO.LOITER
448.017417,14.968160807380867,-14.863507657145654,55.077164041064094,590710.3831846209,6136580.0563473385,59.56153223032784,-25.695837522973306,41.25027194060385,-50.425801038498776,False,True,AUTO.LOITER
448.117048,11.556787391074543,-16.146290648387826,57.09910531862199,590710.380439635,6136580.189875504,59.5425307407242,-25.580912883160636,41.51980369351804,-50.167807239331424,False,True,AUTO.LOITER
448.216868,10.494288509681374,-15.454255646588484,59.74117973743447,590710.371357038,6136580.323273386,59.536529420677795,-25.580912883160636,41.51980369351804,-50.167807239331424,False,True,AUTO.LOITER
448.317035,9.337304881225467,-12.805557970302566,59.56752418942729,590710.3625031901,6136580.445543921,59.50752822476007,-25.73850559059065,41.78373317606747,-50.304806148943825,False,True,AUTO.LOITER
448.417022,10.403779112224353,-10.439694761595092,58.74004416574814,590710.3536493425,6136580.5678144535,59.45952702883712,-25.73850559059065,41.78373317606747,-50.304806148943825,False,True,AUTO.LOITER
448.516994,11.151207062388368,-10.55450650136046,58.31886979639522,590710.3382291358,6136580.701082049,59.40352587833681,-25.689634692971595,41.873794234357774,-50.43580849850896,False,True,AUTO.LOITER
448.617009,12.193604841235143,-11.979167574650589,56.9791842651756,590710.3284602942,6136580.867861973,59.35652418585704,-25.689634692971595,41.873794234357774,-50.43580849850896,False,True,AUTO.LOITER
448.716813,11.37720537748957,-11.684354463811284,56.00917139548406,590710.3193776989,6136581.001259854,59.327522865779,-25.736971729551442,42.0175377484411,-50.35180892527988,False,True,AUTO.LOITER
448.817443,10.756009310560724,-9.345696651432252,55.1203744695573,590710.3102951043,6136581.134657737,59.314521545694646,-25.736971729551442,42.0175377484411,-50.35180892527988,False,True,AUTO.LOITER
448.916832,10.932684109327722,-8.58429521374405,53.889558144280905,590710.2951036487,6136581.256797986,59.29452051930615,-25.787053762818687,42.29480942990631,-50.3078108416571,False,True,AUTO.LOITER
449.0169,12.581415452238197,-8.398342480560283,52.66667005561226,590710.2862498035,6136581.379068521,59.25551932334852,-25.787053762818687,42.29480942990631,-50.3078108416571,False,True,AUTO.LOITER
449.116934,13.601509448529399,-9.73387236243107,52.44341215794672,590710.2771672099,6136581.512466401,59.20351800324661,-25.804532734677196,42.52822315040976,-50.317813109342964,False,True,AUTO.LOITER
449.217071,14.004928427371162,-13.217845157406868,53.28843892528982,590710.2739647287,6136581.668249263,59.155516265295034,-25.804532734677196,42.52822315040976,-50.317813109342964,False,True,AUTO.LOITER
449.317053,13.796032239672796,-14.993720712109006,55.30710280535083,590710.2773286051,6136581.813035059,59.12651448191098,-25.771768317674287,42.784933844581246,-50.22881698183261,False,True,AUTO.LOITER
449.41697,11.250694978380665,-14.185975978178954,56.89313078252435,590710.2743548723,6136581.957690573,59.110512868083546,-25.771768317674287,42.784933844581246,-50.22881698183261,False,True,AUTO.LOITER
449.516951,10.309173465341834,-14.289627764865942,58.22874100243958,590710.2718386365,6136582.080091392,59.08951150253145,-25.776800818624906,43.02973548229784,-50.14181971282429,False,True,AUTO.LOITER
449.617036,10.645838935562882,-12.324072549834803,58.12982313900724,590710.2627560438,6136582.2134892745,59.06051018239648,-25.776800818624906,43.02973548229784,-50.14181971282429,False,True,AUTO.LOITER
449.716966,11.666269896401275,-11.965700034193956,57.294179124695624,590710.2534447028,6136582.358014502,59.01650873811287,-25.749459018115886,43.24180650431663,-50.10382291924756,False,True,AUTO.LOITER
449.817113,11.820747202522616,-13.35153089719393,56.63954070692156,590710.2441333621,6136582.50253973,58.97050729382195,-25.749459018115886,43.24180650431663,-50.10382291924756,False,True,AUTO.LOITER
449.916921,11.701197081336877,-14.483862299409985,56.10738637052218,590710.2348220218,6136582.647064959,58.93350584952367,-25.691801672568545,43.52129303384572,-50.0578277183412,False,True,AUTO.LOITER
450.017003,12.04731975349143,-14.50664119158972,54.65323696075216,590710.2191730741,6136582.791459904,58.91150457478264,-25.691801672568545,43.52129303384572,-50.0578277183412,False,True,AUTO.LOITER
450.116964,12.242709312503715,-13.574526293010493,54.8271388417593,590710.203524127,6136582.9358548485,58.899503300034326,-25.602227537310682,43.790303646586835,-49.86183324115049,False,True,AUTO.LOITER
450.216893,11.628698229603344,-10.987268850476962,54.98536073394358,590710.1883326782,6136583.057995098,58.87050227356925,-25.602227537310682,43.790303646586835,-49.86183324115049,False,True,AUTO.LOITER
450.317094,12.31891942293185,-11.147069775426429,53.831410336706455,590710.1792500884,6136583.191392981,58.82050095338866,-25.48073661699891,44.048838342539966,-49.60383948767554,False,True,AUTO.LOITER
450.417088,12.854992700550751,-13.394398529708166,52.59715302539564,590710.1762763574,6136583.336048494,58.76749933949088,-25.48073661699891,44.048838342539966,-49.60383948767554,False,True,AUTO.LOITER
450.516917,12.940558891604244,-15.543781862863362,53.478135327588916,590710.1794114843,6136583.49196164,58.72649743187398,-25.617715168045834,44.235267248004675,-50.00383803720504,False,True,AUTO.LOITER
450.61713,13.038565240976242,-15.94245598362345,55.4862949003442,590710.1888842173,6136583.648005071,58.700495354683405,-25.617715168045834,44.235267248004675,-50.00383803720504,False,True,AUTO.LOITER
450.717196,12.4237305601893,-14.577686736886774,58.28698712316368,590710.186139234,6136583.781533234,58.699493864910025,-25.742018490680493,44.42195672634989,-50.31883692587738,False,True,AUTO.LOITER
450.817152,10.321273187248615,-14.76448199225415,60.66737561957908,590710.1704902902,6136583.92592818,58.68349259011171,-25.742018490680493,44.42195672634989,-50.31883692587738,False,True,AUTO.LOITER
450.916895,8.73154969581341,-13.945924750812814,61.97766520484457,590710.1550700957,6136584.059195778,58.64749143945529,-25.708567845867947,44.64528538193554,-50.149840426117706,False,True,AUTO.LOITER
451.016948,8.614428314788968,-14.872924605275017,62.171708906207414,590710.1457587589,6136584.203721007,58.602489995077995,-25.708567845867947,44.64528538193554,-50.149840426117706,False,True,AUTO.LOITER
451.117002,10.405874962638237,-17.28265406393563,60.5076505683985,590710.1298810686,6136584.3592433,58.56348859610819,-25.73329942813143,44.92307820543647,-50.158843021009034,False,True,AUTO.LOITER
451.21689,10.816890257873986,-19.027437418753546,59.981822832281544,590710.1203409843,6136584.514895877,58.53848702756481,-25.73329942813143,44.92307820543647,-50.158843021009034,False,True,AUTO.LOITER
